,0,1
0,এরপরও,eɾpɔɾo
1,তারা,t̪ɐɾɐ
2,বকেয়া,bɔkeʲɐ
3,পরিশোধ,poɾɪʃod̪ʱ
4,করেনি,kɔɾenɪ
5,আগে,ɐge
6,সুইস,suɪ̯s
7,ব্যাংকে,bɛŋke
8,জমা,ɟɔmɐ
9,টাকার,tɐkɐɾ
10,কোনো,kono
11,প্রতিবেদন,pɾot̪ɪbed̪ɔn
12,প্রকাশ,pɾokɐʃ
13,করা,kɔɾɐ
14,হতো,hot̪o
15,না,nɐ
16,আদালত,ɐd̪ɐlɔt̪
17,প্রতিষ্ঠানটি,pɾot̪ɪʃtʱɐntɪ
18,সিলগালা,sɪlgɐlɐ
19,করে,koɾe
20,দেয়,d̪ee̯
21,রায়ে,ɾɐe
22,তাদের,t̪ɐd̪eɾ
23,দোষী,d̪oʃɪ
24,সাব্যস্ত,ʃɐbbost̪o
25,হলেও,holeo̯
26,সাজা,ʃɐɟɐ
27,আগামী,ɐgɐmɪ
28,সোমবার,ʃombɐɾ
29,ঘোষণা,gʱoʃonɐ
30,হবে,hɔbe
31,বলে,bole
32,এক,ɛk
33,প্রতিবেদনে,pɾot̪ɪbed̪ɔne
34,জানিয়েছে,ɟɐnɪʲecʰe
35,এনডিটিভি,endɪtɪbʱɪ
36,গ্রেফতারের,gɾepʰt̪ɐɾeɾ
37,পর,pɔɾ
38,থেকে,t̪ʰeke
39,বাঁচাতে,bɐ̃cɐt̪e
40,এলাকার,elɐkɐɾ
41,প্রভাবশালীরা,pɾobʱɐbʃɐlɪɾɐ
42,থানায়,t̪ʰɐnɐe̯
43,তদবির,t̪od̪bɪɾ
44,শুরু,ʃuɾu
45,দাম্পত্য,d̪ɐmpot̪t̪o
46,জীবনে,ɟɪbone
47,দুটি,d̪utɪ
48,কন্যাসন্তান,konnɐʃɔnt̪ɐn
49,হয়,hɔe̯
50,তিনি,t̪ɪnɪ
51,এ,e
52,ধরনের,d̪ʱɔɾoneɾ
53,উদ্যোগ,ud̪d̪og
54,গ্রহণের,gɾohoneɾ
55,জন্য,ɟonno
56,আয়োজকদের,ɐʲoɟkd̪eɾ
57,ধন্যবাদ,d̪ʱonnobɐd̪
58,জানান,ɟɐnɐn
59,এবং,eboŋ
60,মেলার,mɛlɐɾ
61,সাফল্য,ʃɐpʰollo
62,কামনা,kɐmonɐ
63,করেন,kɔɾen
64,এলাকাবাসী,elɐkɐbɐʃɪ
65,যমুনা,ɟomunɐ
66,নদীতে,nod̪ɪt̪e
67,ড্রেজার,dɾeɟɐɾ
68,মেশিন,meʃɪn
69,দিয়ে,d̪ɪʲe
70,তোলা,t̪olɐ
71,বালু,bɐlu
72,বহনকারী,bɔhonkɐɾɪ
73,নৌকার,nou̯kɐɾ
74,মাঝি,mɐɟʱɪ
75,ছিলেন,cʰɪlen
76,সন্টু,ʃɔntu
77,চেক,cek
78,পোস্টে,poste
79,পৌঁছতেই,pẽcʰt̪e͡ɪ̯
80,ইস্রাফিলকে,ɪsɾɐpʰɪlke
81,আটক,ɐtok
82,তার,t̪ɐɾ
83,কাগজপত্র,kɐgoɟpot̪ɾo
84,চাওয়া,cɐo̯ʷɐ
85,চিৎকারে,cɪt̪kɐɾe
86,বাড়ির,bɐɽɪɾ
87,অন্যরা,onnoɾɐ
88,ছুটে,cʰute
89,এসে,eʃe
90,একটি,ektɪ
91,জানালা,ɟɐnɐlɐ
92,ভাঙা,bʱɐŋɐ
93,ও,o
94,গ্রিল,gɾɪl
95,খোলা,kʰolɐ
96,অবস্থায়,ɔbost̪ʰɐe̯
97,পড়ে,pɔɽe
98,থাকতে,t̪ʰɐkt̪e
99,দেখেন,d̪ɛkʰen
100,মামলাটি,mɐmlɐtɪ
101,সিআইডিকে,sɪɐ̯ɪdɪke
102,তদন্তের,t̪ɔd̪ont̪eɾ
103,নির্দেশ,nɪɾd̪eʃ
104,দিলেও,d̪ɪleo̯
105,বছরেরও,bɔcʰoɾeɾo
106,বেশি,beʃɪ
107,সময়,ʃɔmɔe̯
108,ধরে,d̪ʱoɾe
109,সম্পৃক্ততার,ʃɔmpɾɪkt̪ot̪ɐɾ
110,তথ্য,t̪ot̪t̪ʰo
111,খুঁজে,kʰũɟe
112,পায়নি,pɐʲnɪ
113,বিদেশে,bɪd̪eʃe
